word,frequency
fluter,21
cr,21
handy,21
scientific,21
aerated,21
laceworker,21
derive,21
plaiter,21
sulphur,21
latin,21
propr,21
wk,21
drivers,21
liverpool,21
wages,21
leading,21
blocker,21
starch,21
governor,21
solder,21
pianist,21
was,21
qr,21
appt,21
coachsmith,21
tabacco,21
shore,21
tourist,21
explosives,21
weighing,21
looker,21
gill,20
comber,20
ministers,20
genal,20
bulter,20
laboured,20
tracer,20
singers,20
linens,20
scho,20
kilnman,20
chancery,20
inmates,20
tread,20
cake,20
part,20
lacer,20
dredger,20
pigs,20
superior,20
guardian,20
x,20
brown,20
bridge,20
chore,20
boatbuilder,20
bookstall,20
apple,20
paymaster,20
seam,20
cable,20
collecting,20
reliving,20
pt,20
waste,20
wares,20
quartermaster,20
tailer,20
orphan,20
lemonade,20
mer,20
joint,20
buttonhole,20
shareholder,20
shirts,20
cabin,20
faring,19
bookmaker,19
foulder,19
socks,19
wet,19
schooling,19
hank,19
other,19
portress,19
battery,19
parker,19
cross,19
angler,19
coffin,19
nazareth,19
landscape,19
skeiner,19
health,19
player,19
turkish,19
saving,19
special,19
doffers,19
bn,19
deal,19
pillow,19
battle,19
biscuits,19
circular,19
crocket,19
grower,19
archdeacon,19
battler,19
tester,19
roving,19
paster,19
int,19
always,19
halftime,19
same,19
groser,19
companies,19
grade,19
waggon,19
counsel,19
carr,19
baron,18
lard,18
artificial,18
fishwoman,18
photographers,18
sign,18
neither,18
unemployment,18
glazer,18
trin,18
ns,18
minds,18
consulting,18
searcher,18
piper,18
gene,18
cor,18
helpers,18
taught,18
fixer,18
congregational,18
planer,18
violin,18
nursetender,18
artistic,18
about,18
performer,18
cartwright,18
diary,18
labeller,18
kennel,18
residing,18
ten,18
two,18
cost,18
planter,18
ulster,18
be,18
winchman,18
statue,18
free,17
propretor,17
semester,17
ii,17
eggler,17
mathematical,17
pawnbroking,17
furnace,17
domesticated,17
chamber,17
hackling,17
fleet,17
herdman,17
lath,17
census,17
bankers,17
fm,17
sheeter,17
platter,17
costumer,17
agra,17
manufactor,17
lapping,17
sadder,17
bay,17
bluer,17
depart,17
wagon,17
kept,17
decorative,17
lines,17
naturalist,17
quilt,17
tackle,17
dt,17
letting,17
states,17
tripe,17
saddlery,17
rags,17
waiting,17
draughtman,17
waiters,17
hoist,17
maltman,17
hotelkeeper,17
tannery,17
oner,17
poet,17
oaths,17
sells,17
yacht,17
buss,17
publishers,17
authoress,17
remover,17
waterman,17
splitter,17
