occupation,count,corrected_occupation,change_category,unknown_words,suggested_occupation
Grom Domestic Servant,12,Grom Domestic Servant,UNCHANGED,Grom,Groom Domestic Servant
Invalide,12,Invalide,UNCHANGED,Invalide,Invalid
Labourerer,12,Labourerer,UNCHANGED,Labourerer,Labourer
Laburor,12,Laburor,UNCHANGED,Laburor,Labourer
Laudress,12,Laudress,UNCHANGED,Laudress,Laundress
Lobourer,12,Lobourer,UNCHANGED,Lobourer,Labourer
Machienist,12,Machienist,UNCHANGED,Machienist,Machinist
Messag Boy,12,Messag Boy,UNCHANGED,Messag,Message Boy
N.School Teacher,12,N.School Teacher,UNCHANGED,N.School,School Teacher
No Occpation,12,No Occpation,UNCHANGED,Occpation,No Occupation
No Profesion,12,No Profesion,UNCHANGED,Profesion,No Profession
Scool Girl,12,Scool Girl,STANDARD,Scool,School Girl
Semsteress,12,Semsteress,UNCHANGED,Semsteress,Seamstress
Shop Assiant,12,Shop Assiant,UNCHANGED,Assiant,Shop Assistant
Agricaltural Labourer,11,Agricaltural Labourer,UNCHANGED,Agricaltural,Agricultural Labourer
Agricultural Laboural,11,Agricultural Laboural,UNCHANGED,Laboural,Agricultural Labourer
Attending Schooll,11,Attending Schooll,UNCHANGED,Schooll,Attending School
Brass Finsher,11,Brass Finsher,UNCHANGED,Finsher,Brass Finisher
Carptenter,11,Carptenter,UNCHANGED,Carptenter,Carpenter
Domestic Serant,11,Domestic Serant,UNCHANGED,Serant,Domestic Servant
Embroyderer,11,Embroyderer,UNCHANGED,Embroyderer,Embroiderer
Frarmer,11,Frarmer,UNCHANGED,Frarmer,Farmer
French Pollisher,11,French Pollisher,UNCHANGED,Pollisher,French Polisher
Gardener Domestic Sevt,11,Gardener Domestic Sevt,STANDARD,Sevt,Gardener Domestic Sert
Gass Fitter,11,Gass Fitter,STANDARD,Gass,Gas Fitter
Genaral Labourer,11,Genaral Labourer,UNCHANGED,Genaral,General Labourer
General Serant,11,General Serant,UNCHANGED,Serant,General Servant
Labouerer,11,Labouerer,UNCHANGED,Labouerer,Labourer
Nurse Domestic Sevt,11,Nurse Domestic Sevt,STANDARD,Sevt,Nurse Domestic Sert
Resturant Keeper,11,Resturant Keeper,UNCHANGED,Resturant,Restaurant Keeper
Schallar,11,Schallar,UNCHANGED,Schallar,Scholar
Scohalar,11,Scohalar,UNCHANGED,Scohalar,Scholar
Tailar,11,Tailar,UNCHANGED,Tailar,Tailor
Tobaco Spinner,11,Tobaco Spinner,UNCHANGED,Tobaco,Tobacco Spinner
Woll Weaver,11,Woll Weaver,UNCHANGED,Woll,Wool Weaver
Yarn Reller,11,Yarn Reller,UNCHANGED,Reller,Yarn Reeler
Agricultrual Labourer,10,Agricultrual Labourer,UNCHANGED,Agricultrual,Agricultural Labourer
