occupation,count,corrected_occupation,change_category
Mechanical Engineer,216,Mechanical Engineer,STANDARD
Drapery Assistant,215,Drapery Assistant,STANDARD
Presentation Nun,214,Presentation Nun,UNCHANGED
Bread Van Driver,213,Bread Van Driver,STANDARD
Gas Labourer,213,Gas Labourer,STANDARD
Solicitors General Clerk,213,Solicitors General Clerk,STANDARD
Tenant Farmer,213,Tenant Farmer,STANDARD
Tobacco Spinner,212,Tobacco Spinner,STANDARD
Catholic Curate,211,Catholic Curate,STANDARD
General Labourer Unemployed,211,General Labourer Unemployed,STANDARD
Monitor,211,Monitor,UNCHANGED
Shipyard Labourer,211,Shipyard Labourer,STANDARD
Railway Fireman,210,Railway Fireman,UNCHANGED
Clark,209,Clark,UNCHANGED
F Labourer,209,F Labourer,STANDARD
Factory Labourer,208,Factory Labourer,STANDARD
Shopkeeper and Farmer,208,Shopkeeper and Farmer,STANDARD
Coachman Domestic,207,Coachman Domestic,STANDARD
Pawnbroker,207,Pawnbroker,UNCHANGED
Shop Boy,207,Shop Boy,STANDARD
Cashier,205,Cashier,UNCHANGED
Private Income,205,Private Income,STANDARD
Prostitute,205,Prostitute,UNCHANGED
Retired Domestic Servant,205,Retired Domestic Servant,STANDARD
Retired Draper,205,Retired Draper,STANDARD
Auctioneer,204,Auctioneer,UNCHANGED
Coach Smith,204,Coach Smith,STANDARD
Dairy Keeper,203,Dairy Keeper,STANDARD
Hackney Car Driver,202,Hackney Car Driver,STANDARD
Domestic Servant Housemaid,201,Domestic Servant Housemaid,STANDARD
House Worker,201,House Worker,STANDARD
Tram Driver,201,Tram Driver,STANDARD
Artist,200,Artist,UNCHANGED
R I C Pensioner,200,R I C Pensioner,UNCHANGED
Shop Messenger,200,Shop Messenger,STANDARD
Miner,199,Miner,UNCHANGED
Roomkeeper,199,Roomkeeper,UNCHANGED
Nailor,198,Nailor,UNCHANGED
Cambrick Weaver,197,Cambrick Weaver,STANDARD
Navvy,197,Navvy,UNCHANGED
Vice Folder,196,Vice Folder,STANDARD
Assurance Agent,195,Assurance Agent,UNCHANGED
Paper Bag Maker,195,Paper Bag Maker,STANDARD
Farmer's Niece,192,Farmer's Niece,STANDARD
Trained Nurse,192,Trained Nurse,UNCHANGED
Gas Fitter,191,Gas Fitter,STANDARD
Sales Woman,191,Sales Woman,STANDARD
Agent,190,Agent,UNCHANGED
Doffer in Mill,190,Doffer in Mill,STANDARD
Labourer on Farm,190,Labourer on Farm,STANDARD
Post Office Clerk,190,Post Office Clerk,STANDARD
Smiths Helper,190,Smiths Helper,STANDARD
Stocking Knitter,190,Stocking Knitter,STANDARD
Cannot read,189,Cannot read,UNCHANGED
Electrical Engineer,189,Electrical Engineer,UNCHANGED
"Cook, Domestic Servant",188,"Cook, Domestic Servant",STANDARD
Labourer Unemployed,188,Labourer Unemployed,STANDARD
Bookbinder,187,Bookbinder,UNCHANGED
Servant Boy,187,Servant Boy,STANDARD
Licensed Publican,186,Licensed Publican,UNCHANGED
Farm Servent,184,Farm Servent,UNCHANGED
Not Going to School,184,Not Going to School,UNCHANGED
Pilot,184,Pilot,UNCHANGED
Sexton,184,Sexton,UNCHANGED
Slater and Plasterer,184,Slater and Plasterer,UNCHANGED
Wine Merchant,184,Wine Merchant,UNCHANGED
Home,183,Home,UNCHANGED
Labourer in Ship Yard,183,Labourer in Ship Yard,STANDARD
Car Proprietor,182,Car Proprietor,UNCHANGED
Pensioner R I C,182,Pensioner R I C,STANDARD
Works on Farm,182,Works on Farm,UNCHANGED
Domestic Servant Coachman,181,Domestic Servant Coachman,STANDARD
Farm Servants,181,Farm Servants,UNCHANGED
N Teacher,181,N Teacher,STANDARD
Linen Reeler,180,Linen Reeler,STANDARD
Marine Engineer,180,Marine Engineer,STANDARD
Mercantile Clerk,180,Mercantile Clerk,UNCHANGED
Shipping Clerk,180,Shipping Clerk,UNCHANGED
Shop Man,180,Shop Man,STANDARD
Carpenter Apprentice,179,Carpenter Apprentice,STANDARD
Lady Clerk,179,Lady Clerk,STANDARD
Postmaster,179,Postmaster,STANDARD
Servant Farm,179,Servant Farm,STANDARD
Horse Shoer,178,Horse Shoer,STANDARD
Assistant Grocer,177,Assistant Grocer,STANDARD
Farm Work,177,Farm Work,UNCHANGED
Labourer in Brewery,177,Labourer in Brewery,STANDARD
Methodist Minister,177,Methodist Minister,STANDARD
Pupil Teacher,177,Pupil Teacher,STANDARD
Egg Dealer,176,Egg Dealer,STANDARD
Clothier,175,Clothier,UNCHANGED
Egg Merchant,175,Egg Merchant,UNCHANGED
Reeler in Spinning Mill,175,Reeler in Spinning Mill,UNCHANGED
A Farmer,174,A Farmer,UNCHANGED
Corn Merchant,174,Corn Merchant,STANDARD
Famer,174,Famer,UNCHANGED
Domestic Duties,173,Domestic Duties,UNCHANGED
Messenger Boy,173,Messenger Boy,STANDARD
Architect,172,Architect,UNCHANGED
Cycle Mechanic,172,Cycle Mechanic,UNCHANGED
