firstNameCap,count
HONAR,40
JONAS,40
KITTIE,40
LISSY,40
MORTIMOR,40
NONEY,40
ONNY,40
REBEKAH,40
ROBRT,40
SAMUELL,40
TERRESSA,40
THS,40
ADDIE,39
ANDERSON,39
BERND,39
BGT,39
BRIGIT,39
CATIE,39
CONELIUS,39
CORNELINS,39
HENDERSON,39
HERRY,39
HONNIE,39
JEM,39
JOSEP,39
JULLIA,39
KAITE,39
LETICIA,39
LETITA,39
LETTITIA,39
MA,39
MALLY,39
MARGRETE,39
ROSEAN,39
SILAS,39
ALAS,38
ANY,38
CATHLINE,38
CLEMENTINA,38
EDEN,38
ELIZIBETH,38
ETHAL,38
FRANCISS,38
GRACEY,38
GRETA,38
HARY,38
HATE,38
HONARIA,38
HORATIO,38
JEANETTE,38
JORGE,38
KEAT,38
KERIN,38
LARANCE,38
MANDY,38
MARIANNA,38
MARTHEW,38
MARYS,38
MEREDITH,38
MINNY,38
NATHANIAL,38
NICHOLES,38
ROBERTS,38
SHANE,38
TERRESA,38
THOM,38
WILL,38
AGUSTA,37
ALMA,37
ATTIE,37
AURTHUR,37
BEESIE,37
CLAIRE,37
CLAUD,37
FANEY,37
GAWN,37
ISIAH,37
JOHON,37
JOHONA,37
JULY,37
KATHLINE,37
LILLA,37
MARIAM,37
MURRAY,37
SORAH,37
SUZAN,37
TIMMOTHY,37
TIMY,37
TOAL,37
WATSON,37
ALXANDER,36
ANNIS,36
CAIN,36
CATHE,36
CATHEINE,36
CHERRIE,36
CLAIR,36
ELIE,36
FLORRY,36
GEOGE,36
HENRETTA,36
JASON,36
LUCIA,36
MANASSES,36
MARRION,36
MATHA,36
MERIA,36
NABBY,36
ROBENA,36
ROSANNAH,36
ROSELLA,36
SARIAH,36
THOMES,36
ABERT,35
ALACE,35
ARMOUR,35
CARROLL,35
CHATERINE,35
CUTHBERT,35
DANNY,35
DON,35
EUSTACE,35
HARRIETTA,35
HENY,35
JEANNETTE,35
JOY,35
KEATY,35
MIMA,35
OWNEY,35
RATE,35
SIBBY,35
SUSANNE,35
SUSSAN,35
THADDENS,35
TILLY,35
U,35
WENNIE,35
WINNE,35
ADELA,34
AENEAS,34
AGGNES,34
ATTRACTA,34
BRICE,34
BRIDY,34
CALEB,34
CARL,34
CONNIE,34
DALIA,34
ENOCH,34
FLOSSIE,34
HELENE,34
ILEEN,34
ISAC,34
KEZIA,34
MACHAEL,34
MYRTLE,34
NARA,34
RABECCA,34
REBECKA,34
ROAS,34
ROASE,34
ROSSANNA,34
TADE,34
TERISA,34
TERSA,34
THADEUS,34
AGUSTUS,33
ALLIE,33
BEDILIA,33
BELLE,33
CATHERAN,33
CELINA,33
CHARITY,33
CORNELIA,33
CORNS,33
ERA,33
EVELINA,33
HONER,33
JAMIMA,33
JENNET,33
JOHNS,33
LEILA,33
LOWRY,33
MALLIE,33
MARAY,33
MARYJANE,33
MAURIE,33
MELLIE,33
NAPPIE,33
PEARL,33
SAMEL,33
SHARLOTTE,33
STACIA,33
ANNES,32
BLANCH,32
BOBBIE,32
CHARLET,32
CHRISTPHOR,32
CORNLS,32
DELA,32
ENID,32
EUGEANE,32
EVAN,32
FRANCIE,32
GERTUDE,32
HENNY,32
JN,32
JON,32
KATHELINE,32
LAVENIA,32
MAGE,32
MATTEW,32
NAOMI,32
NELIUS,32
NEVIN,32
ROSSANA,32
SHARLET,32
SHEILA,32
SHUSAN,32
TRESEA,32
TREVOR,32
WENEFRED,32
ALICEA,31
BENEDICT,31
