NAME,gender,count,90sCount,AdjustedCount
ADEWUNMI,F,10,3,10
ADEYEMI,M,18,3,18
ADHAVAN,M,3,0,1
ADHEEM,M,3,0,1
ADHEEN,M,3,0,1
ADHIRA,F,6,0,2
ADHIRAJ,M,4,0,1
ADHNAN,M,6,3,6
ADHRIT,M,28,0,9
ADHVAITH,M,3,0,1
ADHYA,F,27,0,9
ADIAN,M,8,0,3
ADIBAH,F,5,0,2
ADIEL,F,7,0,2
ADIEL,M,15,0,5
ADIFAAH,F,3,0,1
ADILSON,M,3,3,3
ADIN,M,36,0,12
ADIRA,F,4,0,1
ADISA,M,3,0,1
ADISON,M,38,0,13
ADIT,M,38,4,38
ADITH,M,3,0,1
ADITHI,F,15,0,5
ADITHYA,M,63,0,21
ADITRI,F,13,0,4
ADIVA,F,4,0,1
ADIY,M,18,0,6
ADIYA,F,3,0,1
ADIYAAN,M,3,0,1
ADIYAN,M,33,0,11
ADJA,F,6,0,2
ADLANE,M,3,0,1
ADN,F,13,0,4
ADOM,M,10,0,3
ADOMAS,M,97,0,32
ADONA,F,3,0,1
ADONAI,F,4,0,1
ADONAI,M,43,0,14
ADONAY,M,16,0,5
ADONIJAH,M,11,0,4
ADORA,F,65,0,22
ADRIA,F,31,0,10
ADRIAAN,M,6,0,2
ADRIAN,F,3,0,1
ADRIANAS,M,7,0,2
ADRIANS,M,77,0,26
ADRIATIK,M,3,0,1
ADRIEL,F,13,0,4
ADRIELLE,F,10,0,3
ADRIJA,F,58,0,19
ADRIJANA,F,10,0,3
ADRIJUS,M,33,0,11
ADRIKA,F,3,0,1
ADRIN,M,3,0,1
ADRINA,F,26,0,9
ADRITA,F,3,0,1
ADSHAYAN,M,3,0,1
ADUNOLA,F,3,0,1
ADVAIT,M,26,0,9
ADVAITA,F,4,0,1
ADVAITH,M,32,0,11
ADVAY,M,37,0,12
ADVIT,M,3,0,1
ADVITH,M,6,0,2
ADYA,F,18,0,6
ADYAAN,M,30,0,10
ADYAN,M,409,0,136
AEDDAN,M,16,0,5
AEESHA,F,3,0,1
AEISHA,F,8,3,8
AELA,F,67,3,67
AELFRED,M,6,6,6
AELLA,F,5,0,2
AEMAN,F,3,0,1
AEMELIA,F,18,3,18
AENEAS,M,3,0,1
AEON,M,3,0,1
AERIS,F,43,0,14
AERON,F,9,6,9
AERONA,F,3,0,1
AERYN,F,292,6,292
AESON,M,4,0,1
AEVA,F,23,0,8
AEVAH,F,3,0,1
AEYSHA,F,22,3,22
AFAAF,F,3,0,1
AFAAN,M,12,0,4
AFAF,F,7,0,2
AFAN,M,18,0,6
AFAQ,M,3,0,1
AFEEF,M,10,0,3
AFEEFA,F,16,6,16
AFET,F,4,4,4
AFFAAN,M,22,0,7
AFFAF,F,3,0,1
AFFAN,M,200,0,67
AFFIA,F,3,0,1
AFIQ,M,3,0,1
AFIRA,F,3,0,1
AFIZAH,F,31,0,10
AFJOL,M,3,3,3
AFNAAN,F,20,0,7
AFNAAN,M,3,0,1
AFNAN,M,54,3,54
AFOLARIN,M,3,0,1
AFRAA,F,14,3,14
AFRAZ,M,22,0,7
AFRIKA,F,6,3,6
AFRINA,F,4,0,1
AFRUZA,F,3,0,1
AFSAH,F,13,3,13
AFSAR,M,6,6,6
AFSARA,F,6,6,6
AFSEEN,F,3,0,1
AFSHANA,F,4,4,4
AGAM,M,22,0,7
AGAMDEEP,M,4,0,1
AGAMJOT,F,4,0,1
AGAMJOT,M,10,0,3
AGAMPREET,M,7,0,2
AGAMVEER,M,3,0,1
AGAPE,F,4,0,1
AGASTYA,M,63,0,21
AGATHE,F,33,6,33
AGHA,M,29,0,10
AGIM,M,3,0,1
AGIT,M,10,6,10
AGNE,F,11,0,4
AGNESE,F,13,0,4
AGNIESZKA,F,47,0,16
AGON,M,6,3,6
AGOTA,F,11,0,4
AGUSTIN,M,21,0,7
AHAAN,M,45,0,15
AHAANA,F,3,0,1
AHAN,M,24,0,8
AHANA,F,65,0,22
AHARAN,M,3,0,1
AHCENE,M,3,0,1
AHDIA,F,3,0,1
AHEED,M,4,0,1
AHIL,M,24,0,8
AHLAAM,F,61,0,20
AHLAAN,F,3,0,1
AHLAN,F,3,0,1
AHMADOU,M,4,0,1
AHMAD-RAZA,M,3,0,1
AHMED-RAZA,M,7,0,2
AHMER,M,9,6,9
AHNAF,M,99,0,33
AHREN,M,36,4,36
AHSAAN,M,9,3,9
AHSANUL,M,10,3,10
AHSEN,M,18,0,6
AHTSHAM,M,3,3,3
AHUVA,F,4,0,1
AHYAAN,M,39,0,13
AHYAN,M,169,0,56
AI,F,15,3,15
AIA,F,4,0,1
AIDAAN,M,4,0,1
AIDAH,F,15,0,5
AIDAN-JAMES,M,3,0,1
AIDAS,M,17,0,6
AIDEL,F,6,0,2
